Chr10_Group_1	chr10:318076
Chr16_Group_11277358	chr16:11277358
Chr16_Group_14388305	chr16:14391868
Chr16_Group_4349111	chr16:4349111
Chr16_Group_11670758	chr16:11670758
Chr16_Group_4470027	chr16:4457677
Chr16_Group_202049	chr16:202049
Chr16_Group_15129940	chr16:15129940
Chr16_Group_5023061	chr16:5023551
Chr16_Group_11042194	chr16:11136448
Chr16_Group_4013467	chr16:4018080
Chr16_Group_11693536	chr16:11692644
Chr16_Group_4021734	chr16:4021734
Chr16_Group_11734642	chr16:11734642
Chr16_Group_283	chr16:70045748
Chr16_Group_11491007	chr16:11491007
Chr16_Group_15130351	chr16:15134835
Chr16_Group_1838836	chr16:1838836
Chr16_Group_163598	chr16:156915
Chr16_Group_4065583	chr16:4065583
Chr16_Group_2828173	chr16:2832100
Chr16_Group_11347858	chr16:11347858
Chr16_Group_11169683	chr16:11204233
Chr16_Group_10598307	chr16:10598307
Chr16_Group_66	chr16:9205363
Chr17_Group_1	chr17:423051
Chr17_Group_2	chr17:463843
Chr17_Group_3	chr17:618965
Chr17_Group_4	chr17:800593
Chr17_Group_5	chr17:1290950
Chr17_Group_8	chr17:1415910
Chr17_Group_10	chr17:1574342
Chr17_Group_11	chr17:1618363
Chr17_Group_12	chr17:1782952
Chr17_Group_13	chr17:1958572
Chr17_Group_14	chr17:2003480
Chr17_Group_15	chr17:2115185
Chr17_Group_16	chr17:2167101
Chr17_Group_17	chr17:2171637
Chr17_Group_19	chr17:2262703
Chr17_Group_21	chr17:2518098
Chr17_Group_22	chr17:2564267
Chr17_Group_23	chr17:2574821
Chr17_Group_24	chr17:2729652
Chr17_Group_25	chr17:2883588
Chr17_Group_26	chr17:3393068
Chr17_Group_27	chr17:4014384
Chr17_Group_28	chr17:4503195
Chr17_Group_29	chr17:4528393
Chr17_Group_30	chr17:4522241
Chr17_Group_31	chr17:4542349
Chr17_Group_32	chr17:4624966
Chr17_Group_34	chr17:4667984
Chr17_Group_35	chr17:4774814
Chr17_Group_36	chr17:4683035
Chr17_Group_37	chr17:4712617
Chr17_Group_38	chr17:4754577
Chr17_Group_41	chr17:4838624
Chr17_Group_42	chr17:4829560
Chr17_Group_43	chr17:4824625
Chr17_Group_45	chr17:4835627
Chr17_Group_48	chr17:5272580
Chr17_Group_49	chr17:5306168
Chr17_Group_50	chr17:5612640
Chr17_Group_51	chr17:6034831
Chr17_Group_52	chr17:6473828
Chr17_Group_53	chr17:6595398
Chr17_Group_54	chr17:6595930
Chr17_Group_55	chr17:6683878
Chr17_Group_56	chr17:6915401
Chr17_Group_57	chr17:6942938
Chr17_Group_13183034	chr17:13183034
Chr17_Group_59	chr17:7091650
Chr17_Group_60	chr17:7142851
Chr17_Group_61	chr17:7178209
Chr17_Group_62	chr17:7234112
Chr17_Group_63	chr17:7396204
Chr17_Group_64	chr17:7534678
Chr17_Group_65	chr17:7498155
Chr17_Group_66	chr17:7487333
Chr17_Group_67	chr17:7507339
Chr17_Group_68	chr17:7462969
Chr17_Group_69	chr17:7522471
Chr17_Group_71	chr17:7574775
Chr17_Group_72	chr17:7578115
Chr17_Group_74	chr17:7735582
Chr17_Group_76	chr17:7742601
Chr17_Group_77	chr17:8031936
Chr17_Group_78	chr17:8136092
Chr17_Group_10031183	chr17:10032431
Chr17_Group_80	chr17:8162820
Chr17_Group_81	chr17:8914693
Chr17_Group_82	chr17:8932119
Chr17_Group_83	chr17:8943063
Chr17_Group_84	chr17:8947708
Chr17_Group_85	chr17:9786577
Chr17_Group_87	chr17:11407901
Chr17_Group_91	chr17:12978842
Chr17_Group_93	chr17:13928401
Chr17_Group_95	chr17:14307405
Chr17_Group_97	chr17:15191024
Chr17_Group_100	chr17:16172833
Chr17_Group_101	chr17:16841868
Chr17_Group_102	chr17:16852187
Chr17_Group_103	chr17:16912680
Chr17_Group_104	chr17:17398278
Chr17_Group_105	chr17:17420199
Chr17_Group_106	chr17:17544213
Chr17_Group_107	chr17:17859917
Chr17_Group_111	chr17:18210810
Chr17_Group_113	chr17:18787828
Chr17_Group_114	chr17:18923681
Chr17_Group_115	chr17:19422725
Chr17_Group_116	chr17:19439429
Chr17_Group_117	chr17:19865541
Chr17_Group_118	chr17:19946287
Chr17_Group_119	chr17:19965883
Chr17_Group_120	chr17:21156860
Chr17_Group_122	chr17:21261560
Chr17_Group_123	chr17:21284223
Chr17_Group_124	chr17:25541278
Chr17_Group_126	chr17:25856338
Chr17_Group_128	chr17:26092037
Chr17_Group_129	chr17:26106675
Chr17_Group_130	chr17:26124908
Chr17_Group_131	chr17:26206414
Chr17_Group_132	chr17:26610252
Chr17_Group_133	chr17:26610513
Chr17_Group_134	chr17:26687494
Chr17_Group_135	chr17:26719788
Chr17_Group_136	chr17:26858395
Chr17_Group_137	chr17:27059666
Chr17_Group_138	chr17:27147327
Chr17_Group_139	chr17:27537410
Chr17_Group_140	chr17:27588806
Chr17_Group_141	chr17:27758922
Chr17_Group_142	chr17:27675226
Chr17_Group_143	chr17:27778073
Chr17_Group_144	chr17:27917771
Chr17_Group_145	chr17:28210725
Chr17_Group_149	chr17:29161845
Chr17_Group_150	chr17:29037339
Chr17_Group_151	chr17:29157158
Chr17_Group_152	chr17:29205869
Chr17_Group_153	chr17:29211667
Chr17_Group_154	chr17:29262773
Chr17_Group_155	chr17:29333516
Chr17_Group_1321116	chr17:1344234
Chr17_Group_157	chr17:30033514
Chr17_Group_158	chr17:30329833
Chr17_Group_159	chr17:30463885
Chr17_Group_160	chr17:30891814
Chr17_Group_161	chr17:31158958
Chr17_Group_162	chr17:31556681
Chr17_Group_163	chr17:31970483
Chr17_Group_164	chr17:32543750
Chr17_Group_166	chr17:32582260
Chr17_Group_168	chr17:32653846
Chr17_Group_169	chr17:32832526
Chr17_Group_170	chr17:32986155
Chr17_Group_171	chr17:32997313
Chr17_Group_172	chr17:34163130
Chr17_Group_175	chr17:33327978
Chr17_Group_176	chr17:33308246
Chr17_Group_178	chr17:33516594
Chr17_Group_179	chr17:33648381
Chr17_Group_181	chr17:33835587
Chr17_Group_182	chr17:34007811
Chr17_Group_183	chr17:33864771
Chr17_Group_184	chr17:33875262
Chr17_Group_185	chr17:33890083
Chr17_Group_186	chr17:33924195
Chr17_Group_187	chr17:33922025
Chr17_Group_188	chr17:33886764
Chr17_Group_190	chr17:33976619
Chr17_Group_191	chr17:34148083
Chr17_Group_192	chr17:34163565
Chr17_Group_193	chr17:34088656
Chr17_Group_194	chr17:34262254
Chr17_Group_196	chr17:34304467
Chr17_Group_198	chr17:34310702
Chr17_Group_199	chr17:34311387
Chr17_Group_200	chr17:34326506
Chr17_Group_201	chr17:34340284
Chr17_Group_203	chr17:34325532
Chr17_Group_206	chr17:34352666
Chr17_Group_208	chr17:34379048
Chr17_Group_209	chr17:34375832
Chr17_Group_210	chr17:34386399
Chr17_Group_211	chr17:34475131
Chr17_Group_212	chr17:34485746
Chr17_Group_213	chr17:34479322
Chr17_Group_214	chr17:34812273
Chr17_Group_215	chr17:34819191
Chr17_Group_216	chr17:34958598
Chr17_Group_217	chr17:34929253
Chr17_Group_219	chr17:34878288
Chr17_Group_220	chr17:34883848
Chr17_Group_224	chr17:34984209
Chr17_Group_225	chr17:35140079
Chr17_Group_226	chr17:35260546
Chr17_Group_227	chr17:35384425
Chr17_Group_228	chr17:35722347
Chr17_Group_229	chr17:35849716
Chr17_Group_230	chr17:36078510
Chr17_Group_231	chr17:36098447
Chr17_Group_232	chr17:36101633
Chr17_Group_233	chr17:36191133
Chr17_Group_235	chr17:36886828
Chr17_Group_236	chr17:36922196
Chr17_Group_237	chr17:37029972
Chr17_Group_238	chr17:37641805
Chr17_Group_239	chr17:37688392
Chr17_Group_240	chr17:37987541
Chr17_Group_241	chr17:38011533
Chr17_Group_243	chr17:37970365
Chr17_Group_244	chr17:38020141
Chr17_Group_245	chr17:38173637
Chr17_Group_247	chr17:38125320
Chr17_Group_248	chr17:38159201
Chr17_Group_252	chr17:38360551
Chr17_Group_253	chr17:38545193
Chr17_Group_254	chr17:38599172
Chr17_Group_255	chr17:38715186
Chr17_Group_256	chr17:38770286
Chr17_Group_257	chr17:38764524
Chr17_Group_258	chr17:39216977
Chr17_Group_260	chr17:39897264
Chr17_Group_261	chr17:39953961
Chr17_Group_262	chr17:40045505
Chr17_Group_263	chr17:40263700
Chr17_Group_264	chr17:40289188
Chr17_Group_265	chr17:40317241
Chr17_Group_266	chr17:40414862
Chr17_Group_267	chr17:40466092
Chr17_Group_268	chr17:40481529
Chr17_Group_269	chr17:40513538
Chr17_Group_270	chr17:40570772
Chr17_Group_271	chr17:40768663
Chr17_Group_272	chr17:40709867
Chr17_Group_275	chr17:41245466
Chr17_Group_276	chr17:41794394
Chr17_Group_277	chr17:41883487
Chr17_Group_278	chr17:41851496
Chr17_Group_279	chr17:41807331
Chr17_Group_282	chr17:41878166
Chr17_Group_283	chr17:42083012
Chr17_Group_284	chr17:42060631
Chr17_Group_286	chr17:42238111
Chr17_Group_287	chr17:42241929
Chr17_Group_289	chr17:42278841
Chr17_Group_291	chr17:42312254
Chr17_Group_292	chr17:42330122
Chr17_Group_293	chr17:42430244
Chr17_Group_294	chr17:42445684
Chr17_Group_295	chr17:42594755
Chr17_Group_296	chr17:43212201
Chr17_Group_298	chr17:43430696
Chr17_Group_299	chr17:44168546
Chr17_Group_302	chr17:43805194
Chr17_Group_304	chr17:44023225
Chr17_Group_306	chr17:44323046
Chr17_Group_309	chr17:44874453
Chr17_Group_310	chr17:44906949
Chr17_Group_311	chr17:45013271
Chr17_Group_312	chr17:45008935
Chr17_Group_313	chr17:45329397
Chr17_Group_314	chr17:45811354
Chr17_Group_316	chr17:45596975
Chr17_Group_317	chr17:45609270
Chr17_Group_320	chr17:45794706
Chr17_Group_321	chr17:46272000
Chr17_Group_322	chr17:45968294
Chr17_Group_323	chr17:46292923
Chr17_Group_324	chr17:46456086
Chr17_Group_326	chr17:47436749
Chr17_Group_327	chr17:46547464
Chr17_Group_328	chr17:46644677
Chr17_Group_329	chr17:46661292
Chr17_Group_330	chr17:46669430
Chr17_Group_331	chr17:46772776
Chr17_Group_332	chr17:46824674
Chr17_Group_333	chr17:47566312
Chr17_Group_334	chr17:46874272
Chr17_Group_335	chr17:47011301
Chr17_Group_336	chr17:47091420
Chr17_Group_337	chr17:47082571
Chr17_Group_338	chr17:47225736
Chr17_Group_340	chr17:47394808
Chr17_Group_341	chr17:47345186
Chr17_Group_342	chr17:47390014
Chr17_Group_343	chr17:47445751
Chr17_Group_346	chr17:47486527
Chr17_Group_58	chr17:7080316
Chr17_Group_1333598	chr17:1333598
Chr17_Group_352	chr17:48692082
Chr17_Group_353	chr17:48918186
Chr17_Group_354	chr17:49244747
Chr17_Group_355	chr17:49613785
Chr17_Group_356	chr17:49939129
Chr17_Group_359	chr17:50854419
Chr17_Group_361	chr17:52061466
Chr17_Group_362	chr17:53133122
Chr17_Group_363	chr17:53230722
Chr17_Group_364	chr17:53172379
Chr17_Group_366	chr17:53364788
Chr17_Group_367	chr17:53757787
Chr17_Group_369	chr17:54773238
Chr17_Group_370	chr17:54778817
Chr17_Group_371	chr17:54839705
Chr17_Group_372	chr17:54880993
Chr17_Group_373	chr17:55230898
Chr17_Group_374	chr17:55463341
Chr17_Group_375	chr17:55736735
Chr17_Group_376	chr17:56371037
Chr17_Group_377	chr17:56369849
Chr17_Group_378	chr17:56358429
Chr17_Group_379	chr17:56390423
Chr17_Group_380	chr17:56409565
Chr17_Group_381	chr17:56436109
Chr17_Group_382	chr17:56831090
Chr17_Group_383	chr17:56517034
Chr17_Group_384	chr17:56632543
Chr17_Group_386	chr17:57287454
Chr17_Group_387	chr17:57885709
Chr17_Group_388	chr17:57821430
Chr17_Group_389	chr17:57957888
Chr17_Group_390	chr17:57882649
Chr17_Group_391	chr17:59150066
Chr17_Group_392	chr17:59292436
Chr17_Group_393	chr17:59447369
Chr17_Group_394	chr17:59457321
Chr17_Group_396	chr17:59484579
Chr17_Group_397	chr17:59495925
Chr17_Group_398	chr17:59638623
Chr17_Group_399	chr17:59880646
Chr17_Group_400	chr17:60767151
Chr17_Group_401	chr17:61087362
Chr17_Group_402	chr17:60593816
Chr17_Group_403	chr17:61554050
Chr17_Group_404	chr17:61568609
Chr17_Group_406	chr17:61870789
Chr17_Group_407	chr17:61885341
Chr17_Group_408	chr17:62394528
Chr17_Group_410	chr17:62676149
Chr17_Group_411	chr17:62998023
Chr17_Group_413	chr17:63743650
Chr17_Group_414	chr17:63810927
Chr17_Group_415	chr17:64178619
Chr17_Group_417	chr17:64210580
Chr17_Group_418	chr17:64299255
Chr17_Group_420	chr17:64779430
Chr17_Group_421	chr17:65895953
Chr17_Group_422	chr17:66382209
Chr17_Group_423	chr17:66428431
Chr17_Group_424	chr17:66888330
Chr17_Group_425	chr17:67081278
Chr17_Group_426	chr17:68090207
Chr17_Group_427	chr17:68188206
Chr17_Group_428	chr17:68203546
Chr17_Group_429	chr17:68292892
Chr17_Group_430	chr17:68325868
Chr17_Group_431	chr17:68457493
Chr17_Group_432	chr17:68437574
Chr17_Group_433	chr17:68494992
Chr17_Group_434	chr17:68560789
Chr17_Group_435	chr17:68521861
Chr17_Group_436	chr17:68644189
Chr17_Group_437	chr17:68718734
Chr17_Group_438	chr17:68724036
Chr17_Group_439	chr17:68976415
Chr17_Group_440	chr17:69114990
Chr17_Group_441	chr17:69125606
Chr17_Group_442	chr17:69236998
Chr17_Group_443	chr17:69949016
Chr17_Group_444	chr17:70025587
Chr17_Group_445	chr17:70098161
Chr17_Group_446	chr17:70127536
Chr17_Group_447	chr17:70400821
Chr17_Group_448	chr17:70642310
Chr17_Group_450	chr17:72695886
Chr17_Group_451	chr17:72701181
Chr17_Group_452	chr17:72758785
Chr17_Group_453	chr17:73018774
Chr17_Group_454	chr17:73066982
Chr17_Group_455	chr17:73687495
Chr17_Group_456	chr17:73875099
Chr17_Group_457	chr17:73886255
Chr17_Group_460	chr17:74419177
Chr17_Group_461	chr17:74381555
Chr17_Group_462	chr17:74389890
Chr17_Group_463	chr17:74733403
Chr17_Group_465	chr17:74988444
Chr17_Group_466	chr17:75317300
Chr17_Group_467	chr17:75372850
Chr17_Group_468	chr17:76122078
Chr17_Group_469	chr17:76119293
Chr17_Group_470	chr17:76123364
Chr17_Group_471	chr17:76126607
Chr17_Group_472	chr17:76183233
Chr17_Group_474	chr17:76252065
Chr17_Group_475	chr17:76393387
Chr17_Group_476	chr17:76388202
Chr17_Group_477	chr17:76439361
Chr17_Group_478	chr17:76737118
Chr17_Group_479	chr17:77112562
Chr17_Group_480	chr17:77273513
Chr17_Group_482	chr17:77305203
Chr17_Group_483	chr17:77536946
Chr17_Group_484	chr17:77776636
Chr17_Group_485	chr17:78102517
Chr17_Group_487	chr17:78111877
Chr17_Group_489	chr17:78260011
Chr17_Group_490	chr17:78262161
Chr17_Group_491	chr17:78348494
Chr17_Group_492	chr17:78603341
Chr17_Group_493	chr17:79082081
Chr17_Group_495	chr17:79214117
Chr17_Group_496	chr17:79380547
Chr17_Group_497	chr17:79469118
Chr17_Group_499	chr17:79525660
Chr17_Group_500	chr17:79596811
Chr17_Group_501	chr17:79566820
Chr17_Group_502	chr17:80086395
Chr17_Group_504	chr17:80503332
Chr17_Group_505	chr17:80480516
Chr17_Group_506	chr17:80685479
Chr17_Group_507	chr17:81071857
Chr17_Group_529	chr17:29036425
Chr17_Group_156	chr17:29630970
Chr17_Group_14294021	chr17:14294021
Chr17_Group_12457079	chr17:12457079
Chr17_Group_15195279	chr17:15195279
Chr17_Group_47037771	chr17:47037771
Chr17_Group_79	chr17:8161149
Chr17_Group_14561016	chr17:14561016
Chr17_Group_11407259	chr17:11407259
Chr18_Group_1	chr18:318040
Chr18_Group_2	chr18:649311
Chr18_Group_3	chr18:1977713
Chr18_Group_3255301	chr18:3255301
Chr18_Group_7	chr18:3817134
Chr18_Group_10	chr18:5593171
Chr18_Group_11	chr18:6282593
Chr18_Group_12	chr18:6939947
Chr18_Group_13	chr18:7068462
Chr18_Group_14	chr18:8522682
Chr18_Group_15	chr18:8323984
Chr18_Group_21	chr18:8667061
Chr18_Group_22	chr18:8808464
Chr18_Group_26	chr18:9620159
Chr18_Group_27	chr18:9762933
Chr18_Group_28	chr18:10566404
Chr18_Group_31	chr18:12606463
Chr18_Group_32	chr18:12821593
Chr18_Group_36	chr18:12881361
Chr18_Group_30366247	chr18:30366247
Chr18_Group_40	chr18:13329915
Chr18_Group_44	chr18:19261413
Chr18_Group_93	chr18:32219670
Chr18_Group_48	chr18:20185431
Chr18_Group_50	chr18:20672555
Chr18_Group_53	chr18:20720973
Chr18_Group_54	chr18:21057210
Chr18_Group_24156425	chr18:24156425
Chr18_Group_57	chr18:21101944
Chr18_Group_59	chr18:21405553
Chr18_Group_12955146	chr18:12955146
Chr18_Group_63	chr18:24337424
Chr18_Group_96	chr18:33694120
Chr18_Group_66	chr18:25126608
Chr18_Group_68	chr18:25551961
Chr18_Group_70	chr18:26556001
Chr18_Group_72	chr18:28086266
Chr18_Group_74	chr18:28835120
Chr18_Group_20190795	chr18:20190795
Chr18_Group_3970124	chr18:3970124
Chr18_Group_77	chr18:29187279
Chr18_Group_79	chr18:29535266
Chr18_Group_82	chr18:30076725
Chr18_Group_85	chr18:29977689
Chr18_Group_91	chr18:31675680
Chr18_Group_28281949	chr18:28281949
Chr18_Group_20395104	chr18:20395104
Chr18_Group_31570017	chr18:32666287
Chr18_Group_99	chr18:34289285
Chr18_Group_100	chr18:35015148
Chr18_Group_101	chr18:35085733
Chr18_Group_102	chr18:35104828
Chr18_Group_103	chr18:35185858
Chr18_Group_20724328	chr18:20729894
Chr18_Group_106	chr18:35146206
Chr18_Group_107	chr18:35215517
Chr18_Group_108	chr18:35326872
Chr18_Group_109	chr18:35307820
Chr18_Group_110	chr18:36129451
Chr18_Group_111	chr18:36896003
Chr18_Group_112	chr18:39304176
Chr18_Group_113	chr18:40147671
Chr18_Group_114	chr18:40675807
Chr18_Group_115	chr18:40715197
Chr18_Group_116	chr18:42046826
Chr18_Group_117	chr18:42151261
Chr18_Group_118	chr18:42405696
Chr18_Group_119	chr18:42435565
Chr18_Group_120	chr18:42807152
Chr18_Group_121	chr18:42824449
Chr18_Group_122	chr18:42888797
Chr18_Group_123	chr18:43097750
Chr18_Group_124	chr18:43194767
Chr18_Group_125	chr18:43231622
Chr18_Group_126	chr18:43313438
Chr18_Group_128	chr18:43784573
Chr18_Group_129	chr18:43824892
Chr18_Group_130	chr18:44170156
Chr18_Group_131	chr18:44775820
Chr18_Group_23405188	chr18:23405188
Chr18_Group_133	chr18:45865597
Chr18_Group_134	chr18:46207268
Chr18_Group_135	chr18:46395022
Chr18_Group_136	chr18:46453755
Chr18_Group_137	chr18:46450976
Chr18_Group_138	chr18:46462019
Chr18_Group_139	chr18:46527798
Chr18_Group_141	chr18:46562030
Chr18_Group_142	chr18:46582359
Chr18_Group_143	chr18:46587654
Chr18_Group_145	chr18:46959500
Chr18_Group_146	chr18:46821351
Chr18_Group_147	chr18:46837578
Chr18_Group_152	chr18:47106028
Chr18_Group_153	chr18:47118660
Chr18_Group_154	chr18:47107152
Chr18_Group_156	chr18:47169927
Chr18_Group_157	chr18:47160814
Chr18_Group_158	chr18:47203408
Chr18_Group_159	chr18:47229717
Chr18_Group_160	chr18:47391025
Chr18_Group_161	chr18:48713040
Chr18_Group_162	chr18:47843534
Chr18_Group_165	chr18:48016887
Chr18_Group_166	chr18:48142854
Chr18_Group_168	chr18:48147834
Chr18_Group_12857002	chr18:12857002
Chr18_Group_171	chr18:48679150
Chr18_Group_173	chr18:49190644
Chr18_Group_174	chr18:50444281
Chr18_Group_175	chr18:50777714
Chr18_Group_177	chr18:50605642
Chr18_Group_13708574	chr18:13708574
Chr18_Group_183	chr18:51816394
Chr18_Group_185	chr18:52336175
Chr18_Group_19907770	chr18:19907770
Chr18_Group_187	chr18:52535247
Chr18_Group_188	chr18:52655532
Chr18_Group_189	chr18:52744118
Chr18_Group_190	chr18:52751694
Chr18_Group_191	chr18:52795084
Chr18_Group_192	chr18:52949657
Chr18_Group_193	chr18:53067954
Chr18_Group_195	chr18:53155002
Chr18_Group_196	chr18:53335512
Chr18_Group_197	chr18:53200117
Chr18_Group_198	chr18:53207207
Chr18_Group_200	chr18:53303750
Chr18_Group_202	chr18:53408187
Chr18_Group_204	chr18:53533189
Chr18_Group_205	chr18:53795514
Chr18_Group_206	chr18:55232790
Chr18_Group_207	chr18:55322502
Chr18_Group_208	chr18:56084054
Chr18_Group_209	chr18:56384192
Chr18_Group_210	chr18:56767671
Chr18_Group_211	chr18:56880796
Chr18_Group_212	chr18:57503378
Chr18_Group_213	chr18:57622287
Chr18_Group_214	chr18:57809803
Chr18_Group_216	chr18:57841589
Chr18_Group_217	chr18:58047503
Chr18_Group_218	chr18:58049192
Chr18_Group_12778715	chr18:12794027
Chr18_Group_220	chr18:59350507
Chr18_Group_221	chr18:60013023
Chr18_Group_222	chr18:60028655
Chr18_Group_223	chr18:60054857
Chr18_Group_224	chr18:60071414
Chr18_Group_225	chr18:60126112
Chr18_Group_226	chr18:60162791
Chr18_Group_227	chr18:60788380
Chr18_Group_228	chr18:60793921
Chr18_Group_229	chr18:60845884
Chr18_Group_230	chr18:60848639
Chr18_Group_231	chr18:60880701
Chr18_Group_232	chr18:60920854
Chr18_Group_233	chr18:61250568
Chr18_Group_234	chr18:61442619
Chr18_Group_235	chr18:62169092
Chr18_Group_236	chr18:63461201
Chr18_Group_237	chr18:64629498
Chr18_Group_238	chr18:67536238
Chr18_Group_29655791	chr18:29655791
Chr18_Group_240	chr18:67691193
Chr18_Group_242	chr18:67601636
Chr18_Group_2946291	chr18:2946291
Chr18_Group_244	chr18:69439073
Chr18_Group_245	chr18:70150939
Chr18_Group_246	chr18:71167752
Chr18_Group_249	chr18:72209543
Chr18_Group_250	chr18:72915551
Chr18_Group_252	chr18:73017234
Chr18_Group_12797694	chr18:12797694
Chr18_Group_20713215	chr18:20713215
Chr18_Group_256	chr18:74074132
Chr18_Group_257	chr18:74182975
Chr18_Group_258	chr18:75907992
Chr18_Group_259	chr18:76494592
Chr18_Group_260	chr18:76773973
Chr18_Group_261	chr18:77156320
Chr18_Group_262	chr18:77164243
Chr18_Group_263	chr18:77220616
Chr18_Group_264	chr18:77232709
Chr18_Group_265	chr18:77472436
Chr18_Group_266	chr18:77578986
Chr18_Group_267	chr18:77571687
Chr18_Group_268	chr18:77624479
Chr18_Group_269	chr18:77622879
Chr18_Group_25336963	chr18:25336963
Chr18_Group_29884187	chr18:29884187
Chr18_Group_11451676	chr18:11451676
Chr18_Group_285	chr18:53253410
Chr18_Group_104	chr18:35148736
Chr18_Group_30003322	chr18:30003322
Chr18_Group_5	chr18:2967845
Chr18_Group_25766218	chr18:25766218
Chr18_Group_55	chr18:20879217
Chr18_Group_31339351	chr18:31340882
Chr18_Group_61	chr18:24156018
Chr18_Group_24605439	chr18:24588053
Chr18_Group_29230977	chr18:29230977
Chr18_Group_21049734	chr18:21049734
Chr18_Group_47	chr18:20223695
Chr18_Group_27945877	chr18:27945877
Chr18_Group_12945310	chr18:12946386
Chr18_Group_21086125	chr18:21095506
Chr18_Group_24383919	chr18:24383919
Chr18_Group_29008594	chr18:29008594
Chr18_Group_75	chr18:29783353
Chr18_Group_186	chr18:52477324
Chr18_Group_12818922	chr18:12818922
Chr18_Group_34311659	chr18:34311659
Chr18_Group_32028143	chr18:32028143
Chr18_Group_254	chr18:73098949
Chr18_Group_255	chr18:73462854
Chr19_Group_1	chr19:837161
Chr19_Group_2	chr19:898288
Chr19_Group_3	chr19:906510
Chr19_Group_4	chr19:930799
Chr19_Group_6	chr19:941603
Chr19_Group_7	chr19:950694
Chr19_Group_11849736	chr19:11849736
Chr19_Group_10	chr19:1031438
Chr19_Group_11	chr19:1033559
Chr19_Group_13	chr19:1047436
Chr19_Group_16	chr19:1063443
Chr19_Group_21	chr19:1650134
Chr19_Group_11188247	chr19:11195229
Chr19_Group_28	chr19:2160529
Chr19_Group_29	chr19:2232221
Chr19_Group_31	chr19:3176170
Chr19_Group_32	chr19:3179517
Chr19_Group_33	chr19:3428834
Chr19_Group_34	chr19:3434028
Chr19_Group_35	chr19:3797100
Chr19_Group_36	chr19:4065331
Chr19_Group_37	chr19:4397613
Chr19_Group_38	chr19:4503823
Chr19_Group_39	chr19:4717672
Chr19_Group_40	chr19:4834682
Chr19_Group_41	chr19:4997420
Chr19_Group_42	chr19:5038917
Chr19_Group_45	chr19:5839613
Chr19_Group_46	chr19:5835677
Chr19_Group_47	chr19:5834212
Chr19_Group_48	chr19:5839746
Chr19_Group_49	chr19:5840619
Chr19_Group_50	chr19:5843074
Chr19_Group_51	chr19:5844537
Chr19_Group_53	chr19:5851801
Chr19_Group_55	chr19:5883493
Chr19_Group_56	chr19:6011141
Chr19_Group_57	chr19:6668972
Chr19_Group_58	chr19:6675989
Chr19_Group_59	chr19:6690771
Chr19_Group_61	chr19:6718387
Chr19_Group_62	chr19:6718146
Chr19_Group_63	chr19:6801966
Chr19_Group_64	chr19:6802571
Chr19_Group_65	chr19:7166109
Chr19_Group_66	chr19:7184762
Chr19_Group_68	chr19:7224431
Chr19_Group_69	chr19:7223848
Chr19_Group_70	chr19:7255701
Chr19_Group_71	chr19:7258405
Chr19_Group_72	chr19:7415064
Chr19_Group_73	chr19:7733855
Chr19_Group_74	chr19:7739177
Chr19_Group_75	chr19:7759676
Chr19_Group_76	chr19:7766274
Chr19_Group_77	chr19:7788091
Chr19_Group_78	chr19:7827830
Chr19_Group_83	chr19:8106521
Chr19_Group_86	chr19:8281635
Chr19_Group_89	chr19:8429323
Chr19_Group_92	chr19:8654916
Chr19_Group_94	chr19:9995867
Chr19_Group_1855583	chr19:1855583
Chr19_Group_96	chr19:10334443
Chr19_Group_101	chr19:10399955
Chr19_Group_102	chr19:10394792
Chr19_Group_103	chr19:10397238
Chr19_Group_104	chr19:10469975
Chr19_Group_108	chr19:10472933
Chr19_Group_112	chr19:10859508
Chr19_Group_116	chr19:11092139
Chr19_Group_120	chr19:11210912
Chr19_Group_123	chr19:11294537
Chr19_Group_132	chr19:11526182
Chr19_Group_134	chr19:11734626
Chr19_Group_136	chr19:12752425
Chr19_Group_139	chr19:12957650
Chr19_Group_13037710	chr19:13037710
Chr19_Group_18389135	chr19:18397035
Chr19_Group_144	chr19:13114434
Chr19_Group_146	chr19:13153035
Chr19_Group_11292820	chr19:11297818
Chr19_Group_149	chr19:13268826
Chr19_Group_152	chr19:13948312
Chr19_Group_153	chr19:14153293
Chr19_Group_155	chr19:15990431
Chr19_Group_156	chr19:16198594
Chr19_Group_157	chr19:16194504
Chr19_Group_158	chr19:16197421
Chr19_Group_159	chr19:16217453
Chr19_Group_160	chr19:16241886
Chr19_Group_161	chr19:16427111
Chr19_Group_162	chr19:16430447
Chr19_Group_163	chr19:16441996
Chr19_Group_164	chr19:16444697
Chr19_Group_165	chr19:16548375
Chr19_Group_166	chr19:16464027
Chr19_Group_168	chr19:16489447
Chr19_Group_170	chr19:16576991
Chr19_Group_172	chr19:17202746
Chr19_Group_175	chr19:17239618
Chr19_Group_177	chr19:17252151
Chr19_Group_180	chr19:17389704
Chr19_Group_182	chr19:17393509
Chr19_Group_183	chr19:17752689
Chr19_Group_185	chr19:17902334
Chr19_Group_188	chr19:18116144
Chr19_Group_11227326	chr19:11228272
Chr19_Group_192	chr19:18304700
Chr19_Group_195	chr19:18444809
Chr19_Group_200	chr19:18637618
Chr19_Group_205	chr19:19252779
Chr19_Group_1104078	chr19:1104078
Chr19_Group_209	chr19:19455750
Chr19_Group_210	chr19:19361735
Chr19_Group_212	chr19:19568082
Chr19_Group_216	chr19:19670688
